,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
2484,430,7900,132,0.02542374287514466,79000132,7900132
5033,887,7900,124,0.0010498929954984363,79000124,7900124
2387,407,7900,511,0.01157944666330342,79000511,7900511
2483,430,7900,115,0.0031541911398174807,79000115,7900115
2482,430,7900,125,9.856867308253069e-05,79000125,7900125
2492,431,7900,144,0.002010085158946623,79000144,7900144
2487,431,7900,133,0.005241800109207487,79000133,7900133
2489,431,7900,143,0.6532487038402233,79000143,7900143
5753,1004,7900,124,0.010083711401872161,79000124,7900124
2381,405,7900,128,0.017788501919700377,79000128,7900128
2386,407,7900,124,0.9637958600429768,79000124,7900124
2503,433,7900,127,0.015759928576262818,79000127,7900127
2502,433,7900,128,0.9692978141485112,79000128,7900128
5030,887,7900,511,0.002124367509643427,79000511,7900511
2524,437,7900,313,0.004434479051188169,79000313,7900313
2535,438,7900,322,0.00013341821499642794,79000322,7900322
2530,438,7900,112,0.003228799967564327,79000112,7900112
2536,438,7900,433,0.002095620191104157,79000433,7900433
2533,438,7900,321,1.9950573920495154e-05,79000321,7900321
2532,438,7900,114,0.010432174682480234,79000114,7900114
2531,438,7900,313,0.9839837199642805,79000313,7900313
2525,437,7900,312,0.9790487611401886,79000312,7900312
2534,438,7900,312,0.00010631640561988028,79000312,7900312
2540,439,7900,431,0.006667094844456501,79000431,7900431
2543,439,7900,311,0.0006014005689662622,79000311,7900311
2546,439,7900,324,0.28535746309933874,79000324,7900324
2545,439,7900,321,0.36468392056670357,79000321,7900321
2541,439,7900,433,0.00361789981455324,79000433,7900433
2542,439,7900,322,0.14669721032799232,79000322,7900322
2539,439,7900,234,0.00012639996885549146,79000234,7900234
2544,439,7900,323,0.18918113271120532,79000323,7900323
1460,250,7900,126,8.11066988724939e-05,79000126,7900126
2529,437,7900,311,6.620955099800626e-05,79000311,7900311
2526,437,7900,145,0.0018996833325628443,79000145,7900145
2510,434,7900,125,0.006837068905685124,79000125,7900125
2508,434,7900,128,0.8788845229571521,79000128,7900128
2507,434,7900,131,0.10524047171274827,79000131,7900131
2516,435,7900,132,0.9688644141760079,79000132,7900132
2514,435,7900,133,7.362908077412825e-05,79000133,7900133
2515,435,7900,131,0.019123214024760176,79000131,7900131
2512,435,7900,125,0.0086231561805302,79000125,7900125
2527,437,7900,114,0.0128666237635118,79000114,7900114
2513,435,7900,128,0.003315586537882867,79000128,7900128
2522,436,7900,234,0.0003353338539395745,79000234,7900234
2520,436,7900,322,0.002528632838645922,79000322,7900322
2521,436,7900,313,0.002679141818135406,79000313,7900313
2518,436,7900,311,0.9852068227348317,79000311,7900311
2523,436,7900,145,4.1267272983913337e-05,79000145,7900145
2519,436,7900,236,0.000290852990235897,79000236,7900236
2528,437,7900,146,0.001684243161680153,79000146,7900146
2517,436,7900,312,0.008917948491358978,79000312,7900312
2444,422,7900,125,0.014346225136710692,79000125,7900125
10789,2119,8000,4,4.072280104208281e-05,80000004,80004
12153,2316,8000,10,0.0036496168475308316,80000010,800010
10809,2123,8000,6,0.005314425512073574,80000006,80006
10807,2123,8000,11,0.0003975459422480773,80000011,800011
10815,2124,8000,1,0.01635777585547979,80000001,80001
10813,2124,8000,8,0.9750851968088149,80000008,80008
10814,2124,8000,2,0.008231275475704573,80000002,80002
10812,2124,8000,9,0.0003257518600398607,80000009,80009
