stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
70426,0.017,0.983,0,0,0,0,3.4
70432,0.006,0.994,0,0,0,0,4.6
70433,0.003,0.997,0,0,0,0,5.8
72002,0.006,0.994,0,0,0,0,3.5
72003,0.008,0.992,0,0,0,0,3.3
72004,0.004,0.996,0,0,0,0,4.5
72006,0.005,0.995,0,0,0,0,3.6
72007,0.004,0.996,0,0,0,0,5.7
72008,0.004,0.996,0,0,0,0,5.3
75001,0,0,1,0,0,0,4.4
75002,0,0,1,0,0,0,3.8
75003,0,0,1,0,0,0,2.5
75004,0,0,1,0,0,0,2.8
75005,0,0,1,0,0,0,3
75006,0,0,1,0,0,0,4.8
75007,0,0,1,0,0,0,3.6
78003,0.006,0.994,0,0,0,0,4.1
78004,0.011,0.989,0,0,0,0,1.2
78005,0.018,0.982,0,0,0,0,3.1
78006,0.022,0.978,0,0,0,0,2.6
78007,0.022,0.978,0,0,0,0,3.7
78008,0.015,0.985,0,0,0,0,4.5
78009,0.006,0.994,0,0,0,0,5.1
80001,0.072,0.928,0,0,0,0,3.6
80002,0.241,0.759,0,0,0,0,4.3
80003,0.05,0.95,0,0,0,0,0.9
80004,0.183,0.817,0,0,0,0,3.5
80005,0.32,0.68,0,0,0,0,4
80006,0.309,0.691,0,0,0,0,4.8
80007,0.109,0.891,0,0,0,0,3.8
80008,0.048,0.952,0,0,0,0,4.2
88001,0,0,1,0,0,0,6.1
88002,0,0,1,0,0,0,4.9
88003,0,0,1,0,0,0,2
88004,0,0,1,0,0,0,4.1
88005,0,0,0,0,1,0,2.5
88006,0,0,0,0,1,0,2.3
88007,0,0,0,1,0,0,4.1
88008,0,0,1,0,0,0,4.1
88009,0,0,0,1,0,0,3.6
89001,0,0,1,0,0,0,4.4
89002,0,0,1,0,0,0,1.7
89003,0,0,1,0,0,0,3
89004,0,0,1,0,0,0,3
89005,0,0,1,0,0,0,4.3
89006,0,0,1,0,0,0,1.9
89007,0,0,1,0,0,0,8.6
89008,0,0,1,0,0,0,1.2
92001,0.018,0.982,0,0,0,0,4.5
92002,0.023,0.977,0,0,0,0,2.4
92003,0.039,0.961,0,0,0,0,5.8
92004,0.039,0.961,0,0,0,0,4.3
93002,0.015,0.985,0,0,0,0,5.7
93003,0.004,0.996,0,0,0,0,4.8
93004,0.184,0.816,0,0,0,0,5.5
